rid,servicemeterreading_oid,smu,readingdate_utc,machine
d5b7a2b8-04f3-4852-a253-a6611f4dbeb5,858247484,1.44477375E8,2020-01-26 18:15:12.0,187974244
fc778f84-309b-41fc-af8a-3c1eb75b42c7,858247518,1.44477386E8,2020-01-26 18:15:23.0,187974244
54f06765-e134-4cc5-a959-2c1523ed77e8,858247667,1.44477412E8,2020-01-26 18:15:49.0,187974244
85569f35-d634-4e4b-b1d3-184f7b1a27e3,858247705,1.44477436E8,2020-01-26 18:16:13.0,187974244
e00cf778-ed9a-47d4-91b5-768fecba0c51,858247738,1.44477451E8,2020-01-26 18:16:28.0,187974244
9984158e-6f96-44b8-bb2b-9c1bf55ba955,858247751,1.44477458E8,2020-01-26 18:16:34.0,187974244
5ae27ce3-a2b9-4f48-8cff-0a7105311909,858247787,1.44477482E8,2020-01-26 18:16:58.0,187974244
340341d8-1e21-4e8c-ad3e-a2bb0f9dec50,858247988,1.44477592E8,2020-01-26 18:18:48.0,187974244
d1e7cf78-0bb6-434f-8efe-97b640606f43,858248010,1.44477603E8,2020-01-26 18:19:00.0,187974244
a7528511-a83a-42e3-ac53-6960e12aa31b,858248036,1.44477616E8,2020-01-26 18:19:13.0,187974244
c1d47942-6292-4dfb-80fd-73cf00cc3ede,858254716,1.44477685E8,2020-01-26 18:55:35.0,187974244
9f333c72-4f26-45be-a39d-53ac73fe6b3f,858255670,1.44477706E8,2020-01-26 18:58:42.0,187974244
7be5b6ac-ea2e-4ae4-8b09-4960927353c6,858255707,1.44477718E8,2020-01-26 18:58:53.0,187974244
0c0015c5-2a4e-4bd6-939f-318db96be2a6,858255817,1.44477732E8,2020-01-26 18:59:08.0,187974244
a7735324-5638-46cd-891f-9b1af9575de6,858255896,1.44477748E8,2020-01-26 18:59:24.0,187974244
c49d40a3-1a80-4183-94d8-866b6751149d,858255948,1.44477759E8,2020-01-26 18:59:34.0,187974244
618b5cbc-87f7-4aa0-aa0b-6012c7036c36,858255991,1.44477772E8,2020-01-26 18:59:48.0,187974244
ab6c9125-c9da-4a7a-a51c-879d5b914aaf,858256075,1.44477789E8,2020-01-26 19:00:05.0,187974244
c0875f34-3160-4d07-9ecd-3f8d5dd244d4,858256159,1.44477803E8,2020-01-26 19:00:19.0,187974244
65728f3e-cf75-4a87-89f8-8e2b1aa3c0db,858256271,1.44477816E8,2020-01-26 19:00:32.0,187974244
88d67152-0f9c-4fc0-87ec-f4f0be80d2b5,858256312,1.44477827E8,2020-01-26 19:00:43.0,187974244
26b19b8b-45c6-4bcb-9852-fbd2f741f780,858256380,1.44477843E8,2020-01-26 19:01:00.0,187974244
f609e836-de80-4109-a9fb-ee88769c1638,858256426,1.44477858E8,2020-01-26 19:01:14.0,187974244
a50fd939-1698-4b0f-b115-8b948449a889,858256571,1.44477877E8,2020-01-26 19:01:34.0,187974244
a89703ec-0043-4022-8afb-c9f30ec5cf28,858256617,1.44477887E8,2020-01-26 19:01:44.0,187974244
c4dc5317-042e-4a34-895a-c8efcd9e3375,858256628,1.4447789E8,2020-01-26 19:01:46.0,187974244
ab11fbeb-3298-4702-a51b-53fdd10e4379,858256660,1.44477899E8,2020-01-26 19:01:55.0,187974244
faddc394-70aa-4c34-b4b1-04b9ff9a3c8a,858256686,1.44477908E8,2020-01-26 19:02:04.0,187974244
5c294dee-e751-409a-a1de-39cfed27e315,858256705,1.44477915E8,2020-01-26 19:02:12.0,187974244
4da81287-3b3c-4b8c-8449-7ea71b4c849f,858256781,1.44477939E8,2020-01-26 19:02:35.0,187974244
0cc86a15-0e05-42a5-8ba7-73486b8996ab,858256828,1.44477955E8,2020-01-26 19:02:51.0,187974244
aa2d5b97-93ea-415b-b4ab-d7b701433fd0,858257025,1.44477978E8,2020-01-26 19:03:14.0,187974244
65d5b8f1-430d-489c-a399-e0877355f8ec,858257137,1.44478003E8,2020-01-26 19:03:39.0,187974244
e753f60d-0479-472e-8e5e-d470ff2a4567,858257223,1.44478014E8,2020-01-26 19:03:50.0,187974244
b30dc287-cdcc-44f1-ab2a-36422a8b6cc3,858257332,1.44478045E8,2020-01-26 19:04:21.0,187974244
63238e07-f92d-40a9-961c-28487571e8d4,858257431,1.44478063E8,2020-01-26 19:04:39.0,187974244
cfe9da72-60b0-4306-ae42-a0196100fa50,858257447,1.44478068E8,2020-01-26 19:04:44.0,187974244
405d6f50-f24a-45b3-a5d5-645e383a9ddd,858257471,1.44478076E8,2020-01-26 19:04:52.0,187974244
288363a4-b28d-435a-b732-c567d564d563,858257495,1.44478083E8,2020-01-26 19:04:58.0,187974244
3fa75476-2928-43b7-bab5-775eb68e63f8,858257524,1.44478092E8,2020-01-26 19:05:08.0,187974244
fd4eedc9-02e5-4dcd-acd5-e677f55d79ad,858257866,1.444782E8,2020-01-26 19:06:55.0,187974244
8bde4683-46e6-41c7-a5ee-2753485661e5,858257877,1.44478203E8,2020-01-26 19:06:58.0,187974244
de38c486-5e05-4d00-a7a1-414532faf0cb,858257890,1.44478205E8,2020-01-26 19:07:01.0,187974244
8483d55c-ee92-427e-93cf-c94e2293d165,858257899,1.44478208E8,2020-01-26 19:07:04.0,187974244
be9997b5-6109-4e12-9836-3f10e6f1f3ae,858257981,1.44478222E8,2020-01-26 19:07:18.0,187974244
7c30ca54-fbaf-4a04-8f74-01f66d59206d,858258001,1.44478233E8,2020-01-26 19:07:29.0,187974244
325ea45a-cf98-422f-a741-0abcd1777e72,858258085,1.44478251E8,2020-01-26 19:07:47.0,187974244
e6c44628-7792-447b-b0c4-12a8498094f6,858258286,1.44478321E8,2020-01-26 19:08:57.0,187974244
16105da8-5858-4cfe-a379-8170ab879038,858258335,1.44478349E8,2020-01-26 19:09:24.0,187974244
81197666-1452-4eb3-92c4-b2a05d1dc44d,858258514,1.4447838E8,2020-01-26 19:09:56.0,187974244
501e280a-d618-45c2-85ae-1195c032d4d9,858258701,1.44478429E8,2020-01-26 19:10:45.0,187974244
323f7d09-cbac-4f92-b1ac-3e836893cebc,858258710,1.44478435E8,2020-01-26 19:10:51.0,187974244
aeb8fd35-b47d-4f5a-a169-b6afd317000e,858258734,1.44478438E8,2020-01-26 19:10:54.0,187974244
8efea784-c5a4-4ad8-a8cd-cc48b5006939,858258849,1.44478462E8,2020-01-26 19:11:17.0,187974244
53e5d1a6-16c8-4fb4-870e-10e30025dc2c,858258976,1.44478497E8,2020-01-26 19:11:53.0,187974244
44c6a4eb-a95a-4de4-a286-1eae6951ecb2,858259039,1.44478513E8,2020-01-26 19:12:08.0,187974244
68131e8d-927b-4cb3-9dfa-6a5002ab88a3,858259197,1.44478554E8,2020-01-26 19:12:50.0,187974244
cb7cd670-50f1-4116-a99c-1580f0533990,858259274,1.44478589E8,2020-01-26 19:13:25.0,187974244
d09363d9-7f09-4cbf-8f34-2ff2f6def521,858259323,1.44478611E8,2020-01-26 19:13:46.0,187974244
f8e16f43-ed25-4c51-ac23-7921dcc49c19,858259352,1.44478622E8,2020-01-26 19:13:58.0,187974244
3754c7b1-2aed-43e5-a647-342489aee4bd,858259428,1.44478645E8,2020-01-26 19:14:21.0,187974244
451ef7f4-5b74-4faa-ad2c-daf8a32b6785,858259545,1.4447867E8,2020-01-26 19:14:46.0,187974244
b43e25cb-923b-4876-b53b-846ed6de24bb,858259569,1.44478677E8,2020-01-26 19:14:53.0,187974244
e42889a7-2469-4a9c-8d8c-e4e02b00d5c7,858259797,1.44478719E8,2020-01-26 19:15:35.0,187974244
7a7f1115-3122-4de3-bc95-97bdfa8c33a3,858259800,1.4447872E8,2020-01-26 19:15:36.0,187974244
058f9443-6405-48a0-9f9d-2f2bdeb059e9,858259805,1.44478722E8,2020-01-26 19:15:38.0,187974244
db74047f-54f9-4001-9c5a-f7a18832d9a0,858259857,1.44478736E8,2020-01-26 19:15:52.0,187974244
6c00d2bf-f772-42d2-a9fd-fdefa7c948e8,858259869,1.4447874E8,2020-01-26 19:15:56.0,187974244
1c1442dc-8820-498d-a5d2-730e56e880aa,858259902,1.44478749E8,2020-01-26 19:16:05.0,187974244
54a90a72-5946-4a39-9db4-558cfe5d3351,858259906,1.4447875E8,2020-01-26 19:16:06.0,187974244
d7a01b0a-bdd6-4120-bc53-5e5d33c2e13d,858259981,1.44478777E8,2020-01-26 19:16:33.0,187974244
6639736a-078c-4960-b5c6-c9721655c0ee,858260025,1.4447879E8,2020-01-26 19:16:46.0,187974244
d717ca28-4a1f-4a7d-96fd-093906ecf1d0,858260027,1.4447879E8,2020-01-26 19:16:43.0,187974244
b90e9a36-0f8e-4f39-917e-d32f1093bfa6,858260032,1.44478791E8,2020-01-26 19:16:47.0,187974244
e1581541-ff14-4f85-bcd1-266f668688f0,858260122,1.44478826E8,2020-01-26 19:17:22.0,187974244
20d3e5f8-f487-4570-94ba-657ebb178364,858260195,1.44478851E8,2020-01-26 19:17:47.0,187974244
f8563bde-9235-4396-aef8-9636c510a262,858260245,1.44478868E8,2020-01-26 19:18:04.0,187974244
b797b014-f7a8-45f4-9ab7-f6acefa42f1e,858260300,1.4447888E8,2020-01-26 19:18:16.0,187974244
e6a75f98-86e1-49db-93e5-a7f4543f8dce,858260354,1.44478899E8,2020-01-26 19:18:35.0,187974244
936e65b0-ffda-41af-9d9f-092954069b5e,858260393,1.44478914E8,2020-01-26 19:18:50.0,187974244
23f13918-29ee-40f5-841c-02714c1d6027,858260505,1.44478936E8,2020-01-26 19:19:12.0,187974244
717c36c8-cbe4-464f-bd71-bb2de89798b3,858260569,1.4447895E8,2020-01-26 19:19:26.0,187974244
82f7872c-b7be-4dbb-aed7-58bee9650878,858260620,1.44478963E8,2020-01-26 19:19:39.0,187974244
7734e4a0-38b5-4c3a-899a-c834fc69dbaf,858260645,1.44478976E8,2020-01-26 19:19:52.0,187974244
33154c50-d1dc-4873-8a46-a2e59fd45edd,858260679,1.44478985E8,2020-01-26 19:20:01.0,187974244
c81b19e4-523d-4f72-afda-a06cb2a2146f,858260684,1.44478988E8,2020-01-26 19:20:04.0,187974244
f717486e-527e-4a6d-a8eb-5a2fa1882ae1,858260712,1.44478997E8,2020-01-26 19:20:13.0,187974244
31c8acbd-0adf-4934-88eb-4bd9184de470,858260747,1.44479008E8,2020-01-26 19:20:24.0,187974244
d636f015-cb21-4d9c-a475-ff4d4492634b,858260769,1.44479014E8,2020-01-26 19:20:30.0,187974244
3c6c996a-baee-4923-88fd-d17539650587,858260786,1.44479021E8,2020-01-26 19:20:37.0,187974244
99a3ce5e-a5ab-4551-a0b5-5e539e90e555,858260910,1.44479052E8,2020-01-26 19:21:08.0,187974244
3ee965c2-b7f9-450b-9cce-52b2e58ad991,858260954,1.44479069E8,2020-01-26 19:21:25.0,187974244
7ff1943f-4619-4d2e-941e-7627523cc6b8,858260991,1.44479084E8,2020-01-26 19:21:40.0,187974244
d39f83cb-4b5b-40e9-8a2f-30dea7c825fe,858261019,1.44479096E8,2020-01-26 19:21:53.0,187974244
ceafe3a0-6e2b-42d5-bb0d-7f4c943ec920,858261241,1.4447913E8,2020-01-26 19:22:27.0,187974244
31666743-0985-49e1-9c29-4c7ad32ef032,858261256,1.44479134E8,2020-01-26 19:22:30.0,187974244
208d7261-e732-423d-a43a-42f8c1935799,858261296,1.4447914E8,2020-01-26 19:22:36.0,187974244
a3d33c5d-26c6-4521-8f77-b9c182251da6,858261380,1.44479145E8,2020-01-26 19:22:41.0,187974244
0a416b42-d15d-413e-a459-2a4360846c0e,858261405,1.4447915E8,2020-01-26 19:22:46.0,187974244
676d48ac-db13-4917-ac37-3b2bd44bbe4f,858261431,1.44479155E8,2020-01-26 19:22:52.0,187974244
9c3a614c-88c7-4f40-90ce-4de427d9c16d,858261975,1.44479307E8,2020-01-26 19:25:23.0,187974244
2a57dc74-8c3e-4463-9c48-2b8b18894ed9,858262006,1.44479312E8,2020-01-26 19:25:28.0,187974244
